
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.16018750000E+07; -0.732554     ;-0.62931      
   6.16037500000E+07; -0.733337     ;-0.62793      
   6.16056250000E+07; -0.73364      ;-0.628908     
   6.16075000000E+07; -0.734818     ;-0.627973     
   6.16093750000E+07; -0.735961     ;-0.624121     
   6.16112500000E+07; -0.737305     ;-0.625445     
   6.16131250000E+07; -0.736633     ;-0.624889     
   6.16150000000E+07; -0.737684     ;-0.621845     
   6.16168750000E+07; -0.737931     ;-0.621828     
   6.16187500000E+07; -0.73822      ;-0.62348      
   6.16206250000E+07; -0.741272     ;-0.618122     
   6.16225000000E+07; -0.740393     ;-0.620184     
   6.16243750000E+07; -0.738484     ;-0.617888     
   6.16262500000E+07; -0.740842     ;-0.618664     
   6.16281250000E+07; -0.742384     ;-0.619544     
   6.16300000000E+07; -0.743866     ;-0.617128     
   6.16318750000E+07; -0.746197     ;-0.614137     
   6.16337500000E+07; -0.744081     ;-0.615997     
   6.16356250000E+07; -0.745489     ;-0.613409     
   6.16375000000E+07; -0.743162     ;-0.612715     
   6.16393750000E+07; -0.746096     ;-0.612902     
   6.16412500000E+07; -0.746919     ;-0.613436     
   6.16431250000E+07; -0.74744      ;-0.612911     
   6.16450000000E+07; -0.746705     ;-0.611228     
   6.16468750000E+07; -0.749423     ;-0.608958     
   6.16487500000E+07; -0.748755     ;-0.608688     
   6.16506250000E+07; -0.74817      ;-0.606491     
   6.16525000000E+07; -0.750755     ;-0.604753     
   6.16543750000E+07; -0.752072     ;-0.604294     
   6.16562500000E+07; -0.751007     ;-0.605433     
   6.16581250000E+07; -0.753678     ;-0.606776     
   6.16600000000E+07; -0.752665     ;-0.603869     
   6.16618750000E+07; -0.755268     ;-0.601229     
   6.16637500000E+07; -0.753028     ;-0.602131     
   6.16656250000E+07; -0.756304     ;-0.60045      
   6.16675000000E+07; -0.756706     ;-0.597705     
   6.16693750000E+07; -0.758477     ;-0.600295     
   6.16712500000E+07; -0.753975     ;-0.597398     
   6.16731250000E+07; -0.758342     ;-0.59675      
   6.16750000000E+07; -0.760601     ;-0.596503     
   6.16768750000E+07; -0.760497     ;-0.594129     
   6.16787500000E+07; -0.761455     ;-0.594912     
   6.16806250000E+07; -0.759        ;-0.593073     
   6.16825000000E+07; -0.76124      ;-0.592779     
   6.16843750000E+07; -0.76109      ;-0.592638     
   6.16862500000E+07; -0.764104     ;-0.591976     
   6.16881250000E+07; -0.761737     ;-0.590844     
   6.16900000000E+07; -0.764431     ;-0.590108     
   6.16918750000E+07; -0.764296     ;-0.591489     
   6.16937500000E+07; -0.765239     ;-0.586194     
   6.16956250000E+07; -0.76653      ;-0.585613     
   6.16975000000E+07; -0.767776     ;-0.584682     
   6.16993750000E+07; -0.767697     ;-0.58408      
   6.17012500000E+07; -0.767197     ;-0.586218     
   6.17031250000E+07; -0.769334     ;-0.583755     
   6.17050000000E+07; -0.77184      ;-0.580881     
   6.17068750000E+07; -0.770006     ;-0.580083     
   6.17087500000E+07; -0.770167     ;-0.580613     
